,date,text,polarity,Vader Sentiment
70,2021-02-16 16:09:19,"['_binance', 'There', 'will', 'definitely', 'be', 'a', 'MarsCoin!']",0.0,0.0
71,2021-02-16 16:05:20,"['Sounds', 'like', 'it', 'is']",0.0,0.0
72,2021-02-16 16:00:45,"['RT', 'Winter', 'at', 'Giga', 'Texas']",0.0,0.0
73,2021-02-16 05:14:49,"['YeahActive', 'fairing', 'half', 'recovered', 'though.']",-0.16666666666666666,0.0
74,2021-02-16 05:10:20,"['RT', 'Deployment', 'of', '60', 'Starlink', 'satellites', 'confirmed']",0.4,0.0
75,2021-02-16 04:25:03,"['SpaceX', 'Boca', 'team', 'is', 'helping', 'save', 'the', 'turtles']",0.0,0.0
76,2021-02-16 02:42:52,['~5%'],0.0,0.0
77,2021-02-16 02:39:46,"['Disturbing', 'concentration']",-0.5,0.0
78,2021-02-15 10:33:31,"['Only', 'if', 'necessary']",0.0,0.0
79,2021-02-15 10:08:32,['Absolutely'],0.2,0.0
80,2021-02-15 10:05:59,"['I', 'will', 'literally', 'pay', 'actual', 'if', 'they', 'just', 'void', 'their', 'accounts']",0.0,0.0
81,2021-02-15 09:52:37,[],0.0,0.0
82,2021-02-15 01:13:46,['Yup'],0.0,0.0
83,2021-02-15 01:11:40,"['Temporarily', 'lowerlong-term', 'raise']",0.0,0.0
84,2021-02-14 23:33:22,"['An', 'acceptable', 'percentageDoge', 'is', 'much', 'more', 'concentrated.']",0.5,0.0
85,2021-02-14 23:25:16,"['If', 'major', 'Dogecoin', 'holders', 'sell', 'most', 'of', 'their', 'coinsit', 'will', 'get', 'my', 'full', 'supportToo', 'much', 'concentration', 'is', 'the', 'only', 'real', 'issue', 'imo.']",0.21875,0.0
86,2021-02-14 02:16:24,"['Success', 'on', 'landing', 'probability', 'is', '~60this', 'time']",0.3,0.0
87,2021-02-13 21:19:38,['былббольшочестьпоговоритвами'],0.0,0.0
88,2021-02-13 21:07:38,"['._E', 'would', 'you', 'like', 'join', 'me', 'for', 'a', 'conversation', 'on', 'Clubhouse?']",0.0,0.0
89,2021-02-13 14:12:41,"['Lil', 'meme', 'juice', 'for', 'the', 'weekend']",0.0,0.0
90,2021-02-13 02:00:16,"['Good', 'analysisWe’re', 'working', 'on', 'lowering', 'min', 'throttle', 'of', 'Raptorso', 'that', 'there', 'is', 'engine', 'redundancy', 'throughout', 'the', 'landing', 'burn.']",0.7,0.0
91,2021-02-13 01:55:13,"['YupBanks', 'are', 'basically', 'balkanizedheterogeneous', 'databases', 'with', 'high', 'latency', '&ampweak', 'securityespecially', 'ACH', 'transfers', '&ampcredit', 'cards.']",0.16,0.0
92,2021-02-12 23:07:56,"['A', 'know', 'a', 'thing', 'or', 'two', 'about', 'payments']",0.0,0.0
93,2021-02-12 23:06:15,"['RT', 'Congrats', 'to', 'the', 'advancing', 'teams', 'in', 'the', 'Not-a-Boring', 'Tunnel', 'Competition', 'Started', 'with', '390', 'competitorsdown', 'to', 'the', '12', 'fi…']",0.0,0.0
94,2021-02-12 10:15:48,"['I’m', 'an', 'alien']",-0.25,0.0
95,2021-02-12 05:01:15,"['_AA_Carmack', 'Ray', 'tracing', 'on', 'Cyberpunk', 'with', 'HDR', 'is', 'next-levelHave', 'you', 'tried', 'it?']",0.0,0.0
96,2021-02-11 23:28:07,"['Great', 'interview!']",1.0,0.0
97,2021-02-11 23:27:37,"['Doge', 'is', 'underestimated']",0.0,0.0
98,2021-02-11 20:41:50,"['Congratulations', 'Tesla', 'China', 'for', 'amazing', 'execution', 'last', 'yearNow', 'on', 'to', 'the', 'next', 'for', 'even', 'more!!']",0.3453125,0.0
99,2021-02-11 20:05:55,"['Happy', 'New', 'Year', 'of', 'the', 'Ox']",0.4681818181818182,0.0
100,2021-02-11 09:08:33,"['Frodo', 'was', 'the', 'underdoge,', 'All', 'thought', 'he', 'would', 'fail,', 'Himself', 'most', 'of', 'all']",0.0,0.0
101,2021-02-11 01:04:53,"['Haha', 'thanks', ':)']",0.3,0.0
102,2021-02-11 01:03:25,"['IndeedTweets', 'definitely', 'do', 'not', 'represent', 'real-world', 'time', 'allocation.']",0.0,0.0
103,2021-02-10 21:15:44,"['The', 'most', 'entertaining', 'outcome', 'is', 'the', 'most', 'likely']",0.375,0.0
104,2021-02-10 19:53:10,"['Just', 'sent', 'some']",0.0,0.0
105,2021-02-10 19:47:18,"['Just', 'agree', 'to', 'do', 'Clubhouse', 'with']",0.0,0.0
106,2021-02-10 16:51:31,[],0.0,0.0
107,2021-02-10 16:39:24,"['It’s', 'getting', 'real']",0.2,0.0
